"OBJECTID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT_NAME","FIRE_YEAR","Month","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","FIPS_NAME"
480318,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Debris and open burning","",1556,0.4,"B",38.49833002,-76.88166997,"PRIVATE","MD","Charles County"
480319,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Debris and open burning","",1648,0.3,"B",38.43805997,-76.96971998,"PRIVATE","MD","Charles County"
480320,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"March","Human","Arson/incendiarism","",1555,0.1,"A",39.20915998,-76.80770998,"PRIVATE","MD","Howard County"
480321,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Debris and open burning","",930,0.2,"A",38.76999998,-76.67638997,"PRIVATE","MD","Anne Arundel County"
480322,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"March","Human","Arson/incendiarism","",1845,3.3,"B",38.39333,-75.59949999,"PRIVATE","MD","Wicomico County"
480323,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"March","Human","Debris and open burning","",1330,0.1,"A",38.51466998,-75.71049999,"PRIVATE","MD","Wicomico County"
480324,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Misuse of fire by a minor","Minor",1435,0.3,"B",38.35556001,-76.44195,"MUNICIPAL/LOCAL","MD","Calvert County"
480325,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"March","Human","Railroad operations and maintenance","",1800,5,"B",39.31804998,-76.81889001,"STATE","MD","Baltimore County"
480326,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"March","Human","Debris and open burning","",1302,0.1,"A",39.70000002,-78.72500002,"PRIVATE","MD","Allegany County"
480327,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"March","Human","Debris and open burning","",1400,0.7,"B",39.66191001,-76.23391997,"PRIVATE","MD","Harford County"
480328,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Debris and open burning","",1545,1,"B",38.56381998,-76.99941,"PRIVATE","MD","Charles County"
480329,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Debris and open burning","",1320,0.4,"B",38.48554998,-76.97693997,"PRIVATE","MD","Charles County"
480330,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Misuse of fire by a minor","Minor",1500,3,"B",38.48590001,-76.75194998,"PRIVATE","MD","St. Mary's County"
480331,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"March","Human","Misuse of fire by a minor","Minor",1800,1,"B",38.53667,-76.61860998,"MUNICIPAL/LOCAL","MD","Calvert County"
